product_id,product_name,category,price,cost,stock_quantity,reorder_level
1,Sharable bifurcated algorithm,Beauty,256.65,171.05,239,47
2,User-centric even-keeled encryption,Automotive,229.75,174.30,495,76
3,Face-to-face client-driven support,Beauty,165.60,131.94,272,64
4,Customer-focused systematic support,Automotive,15.93,12.89,284,39
5,Quality-focused background parallelism,Health,103.39,59.73,480,85
6,Optimized 5thgeneration algorithm,Health,203.47,140.13,206,33
7,Cross-group didactic emulation,Toys,44.54,27.55,145,8
8,Profit-focused real-time algorithm,Beauty,157.80,109.90,91,10
9,Realigned dedicated structure,Home & Garden,105.51,75.07,274,55
10,Streamlined tangible moratorium,Clothing,364.82,195.55,493,61
11,Operative directional knowledge user,Sports,68.09,28.73,26,5
12,Reverse-engineered even-keeled workforce,Home & Garden,24.99,14.78,39,9
13,Adaptive well-modulated workforce,Sports,115.96,88.43,128,21
14,Diverse tangible interface,Office,303.37,136.60,342,36
15,Mandatory even-keeled collaboration,Automotive,88.30,46.88,250,49
16,Extended well-modulated Graphical User Interface,Home & Garden,65.21,53.81,355,9
17,Customer-focused background implementation,Home & Garden,93.29,63.19,131,5
18,Cross-platform heuristic hardware,Beauty,26.66,12.10,294,16
19,Robust empowering workforce,Clothing,100.22,53.63,383,74
20,Balanced upward-trending knowledgebase,Clothing,163.67,130.20,242,41
21,Public-key bottom-line implementation,Automotive,278.26,137.96,76,9
22,Configurable neutral frame,Grocery,199.10,160.21,229,21
23,Self-enabling regional hierarchy,Home & Garden,385.33,188.28,211,25
24,Re-engineered content-based strategy,Books,184.16,114.12,435,11
25,Cloned 6thgeneration protocol,Clothing,6.88,5.21,384,88
26,Focused zero administration frame,Clothing,328.23,159.93,137,6
27,Configurable discrete attitude,Automotive,156.13,103.61,91,18
28,Multi-tiered even-keeled knowledgebase,Grocery,259.88,154.14,88,20
29,Sharable high-level complexity,Beauty,271.70,115.51,135,21
30,Multi-layered heuristic database,Automotive,139.63,67.47,488,46
31,Synchronized encompassing standardization,Grocery,142.68,71.90,253,39
32,Synergized secondary archive,Automotive,273.78,128.21,299,60
33,Robust scalable concept,Sports,52.83,36.01,430,60
34,Public-key upward-trending encryption,Toys,238.37,172.47,495,63
35,Diverse maximized implementation,Grocery,352.44,176.18,483,24
36,Future-proofed scalable solution,Books,152.01,65.61,369,61
37,Realigned directional software,Beauty,113.31,45.38,488,116
38,Inverse zero administration time-frame,Office,348.86,140.76,436,66
39,Centralized discrete alliance,Automotive,129.07,75.60,491,22
40,Intuitive impactful flexibility,Clothing,203.30,151.57,467,67
41,Cloned didactic open system,Sports,285.36,150.68,32,5
42,Universal foreground data-warehouse,Automotive,315.99,162.09,76,9
43,Streamlined modular infrastructure,Automotive,294.37,172.94,433,85
44,Stand-alone logistical circuit,Electronics,328.77,184.36,339,66
45,Fundamental client-driven encryption,Electronics,51.01,41.07,246,57
46,User-friendly next generation monitoring,Books,350.13,152.37,431,9
47,Fundamental value-added paradigm,Clothing,283.16,131.63,324,22
48,Optimized optimal initiative,Sports,328.25,161.16,391,82
49,Multi-lateral directional challenge,Office,91.14,48.73,496,47
50,Profound modular array,Grocery,223.00,140.45,96,7
51,Versatile actuating budgetary management,Automotive,27.54,15.92,405,76
52,Distributed responsive complexity,Sports,357.34,197.98,477,59
53,Synergized interactive policy,Electronics,264.74,137.74,266,62
54,Cloned human-resource implementation,Automotive,248.49,117.10,406,21
55,Right-sized maximized moderator,Health,167.89,79.48,273,26
56,Function-based neutral access,Beauty,372.68,157.09,113,25
57,Synergized uniform budgetary management,Office,191.12,159.60,179,22
58,Synergized national system engine,Sports,39.18,17.36,332,61
59,Future-proofed zero administration project,Electronics,86.72,57.54,288,23
60,Mandatory bifurcated frame,Home & Garden,259.63,174.12,440,89
61,Optional cohesive knowledgebase,Toys,294.89,169.77,215,6
62,Adaptive uniform success,Toys,132.18,54.28,135,17
63,Fundamental motivating task-force,Home & Garden,181.97,95.84,386,95
64,Enhanced motivating benchmark,Toys,155.81,84.38,2,5
65,Self-enabling exuding productivity,Sports,58.12,25.26,388,65
66,Profit-focused real-time customer loyalty,Beauty,191.88,108.59,24,6
67,Distributed holistic task-force,Automotive,140.49,80.53,180,39
68,Diverse needs-based time-frame,Sports,278.83,195.49,349,86
69,Progressive 24hour policy,Clothing,60.02,33.16,185,26
70,Inverse mobile adapter,Home & Garden,293.07,117.64,268,47
71,Customizable high-level workforce,Office,255.94,131.58,258,55
72,Integrated disintermediate approach,Grocery,435.41,175.15,447,95
73,Front-line non-volatile artificial intelligence,Clothing,371.76,191.12,165,22
74,Configurable upward-trending matrix,Sports,96.74,60.90,451,89
75,Cloned well-modulated monitoring,Grocery,46.07,20.34,337,28
76,Visionary clear-thinking capacity,Beauty,472.17,189.20,363,75
77,Switchable methodical neural-net,Electronics,292.05,158.65,475,14
78,Down-sized empowering moderator,Automotive,310.47,169.49,305,67
79,Robust interactive data-warehouse,Automotive,246.17,182.15,280,63
80,Quality-focused web-enabled superstructure,Sports,146.47,89.24,395,14
81,Team-oriented dedicated structure,Electronics,222.28,136.57,108,16
82,Integrated impactful secured line,Health,457.44,188.46,314,46
83,Streamlined holistic intranet,Home & Garden,83.86,68.04,13,5
84,Programmable local capability,Sports,26.11,21.66,384,9
85,Fully-configurable directional architecture,Office,218.08,108.65,124,11
86,Mandatory 3rdgeneration parallelism,Clothing,310.11,184.98,494,49
87,Reactive discrete parallelism,Office,86.06,48.87,409,45
88,Face-to-face 24hour archive,Electronics,53.90,22.81,265,7
89,Triple-buffered responsive approach,Electronics,172.62,82.88,171,37
90,Focused asymmetric alliance,Grocery,113.07,97.49,308,28
91,Managed asynchronous migration,Books,310.86,133.59,493,109
92,Front-line even-keeled secured line,Health,184.69,125.46,272,27
93,Pre-emptive didactic moratorium,Home & Garden,59.99,38.71,42,7
94,De-engineered uniform orchestration,Grocery,417.67,199.29,163,10
95,Re-engineered methodical encryption,Beauty,242.59,177.78,262,60
96,Phased incremental core,Beauty,131.60,60.39,181,44
97,Cross-platform bandwidth-monitored protocol,Health,115.91,90.83,318,57
98,Optional heuristic interface,Grocery,425.37,189.68,15,5
99,Open-source maximized superstructure,Clothing,364.11,196.27,277,55
100,Business-focused systematic projection,Clothing,260.14,128.68,496,122
101,Stand-alone bandwidth-monitored approach,Health,79.23,50.68,319,68
102,Open-architected upward-trending Graphical User Interface,Beauty,60.45,33.36,346,17
103,Customer-focused dynamic core,Home & Garden,289.50,118.29,460,6
104,Ergonomic national knowledge user,Books,42.00,35.81,425,27
105,Devolved interactive contingency,Automotive,78.20,60.52,270,12
106,Grass-roots maximized encryption,Toys,256.44,165.28,105,25
107,Compatible leadingedge workforce,Automotive,87.38,44.36,17,5
108,Reactive bandwidth-monitored application,Toys,76.28,38.93,371,15
109,Streamlined needs-based access,Sports,185.56,123.70,6,5
110,Cross-group web-enabled encoding,Electronics,117.08,81.15,143,19
111,Down-sized incremental matrix,Toys,119.88,101.90,369,83
112,Polarized didactic initiative,Clothing,203.28,84.17,38,9
113,Centralized composite implementation,Clothing,137.95,66.11,108,6
114,Adaptive human-resource firmware,Health,294.06,126.32,417,64
115,Persevering executive interface,Books,101.99,81.28,486,99
116,Total upward-trending toolset,Office,135.54,61.86,418,87
117,Realigned stable structure,Sports,194.04,146.65,53,5
118,Pre-emptive coherent core,Sports,236.06,188.73,198,26
119,Implemented didactic approach,Books,75.55,48.75,61,15
120,Reduced user-facing moratorium,Home & Garden,123.12,89.92,397,87
121,Centralized value-added functionalities,Toys,72.66,40.46,496,103
122,Centralized actuating paradigm,Toys,299.35,197.77,497,77
123,Polarized motivating moderator,Toys,376.62,165.01,221,18
124,Diverse analyzing migration,Beauty,360.43,171.06,448,92
125,Configurable contextually-based architecture,Sports,92.16,69.87,426,90
126,Right-sized asymmetric service-desk,Home & Garden,166.44,94.12,446,72
127,Front-line impactful capability,Electronics,167.59,99.51,464,103
128,Re-contextualized dynamic paradigm,Electronics,406.63,185.80,289,57
129,Right-sized 6thgeneration process improvement,Beauty,286.54,175.88,374,85
130,Configurable intangible protocol,Office,87.26,37.37,162,22
131,Reduced non-volatile model,Books,251.89,117.35,35,8
132,Intuitive empowering database,Toys,152.17,62.91,384,80
133,Synchronized transitional functionalities,Sports,59.88,40.63,131,22
134,Front-line empowering infrastructure,Health,278.18,162.12,3,5
135,De-engineered static project,Grocery,366.20,183.93,428,73
136,Innovative logistical functionalities,Home & Garden,458.55,190.32,476,10
137,Versatile asynchronous access,Toys,145.98,121.42,283,63
138,Persevering regional open system,Grocery,38.47,26.79,380,83
139,Cross-platform asynchronous monitoring,Automotive,87.05,35.43,176,37
140,Extended motivating firmware,Electronics,77.39,34.66,266,15
141,De-engineered grid-enabled architecture,Electronics,383.24,183.81,341,56
142,Fully-configurable holistic forecast,Books,95.05,80.47,388,21
143,Diverse leadingedge moratorium,Health,373.51,180.57,100,18
144,Triple-buffered exuding pricing structure,Health,140.95,75.33,19,5
145,Streamlined multi-tasking access,Beauty,305.58,164.64,131,12
146,Synchronized neutral framework,Office,92.68,46.96,463,73
147,Switchable bi-directional challenge,Health,173.75,137.62,500,70
148,Fundamental bifurcated benchmark,Toys,318.22,185.69,170,5
149,User-friendly neutral collaboration,Books,157.81,63.45,323,31
150,Future-proofed executive portal,Electronics,141.35,101.27,24,6
151,Expanded transitional Graphical User Interface,Grocery,250.33,104.93,95,22
152,Expanded systemic productivity,Home & Garden,302.19,140.81,290,10
153,Fundamental motivating matrix,Office,371.47,156.75,273,47
154,Function-based actuating array,Sports,154.39,98.49,364,54
155,Sharable interactive focus group,Office,69.88,45.40,399,95
156,Balanced 24hour groupware,Beauty,197.65,164.75,185,39
157,Visionary clear-thinking productivity,Sports,230.33,99.93,307,70
158,Fundamental cohesive support,Toys,31.43,12.94,447,43
159,Organic neutral strategy,Home & Garden,140.26,75.16,222,46
160,Optimized next generation access,Health,278.13,124.27,179,27
161,Customizable asynchronous solution,Electronics,185.45,100.88,134,12
162,Distributed needs-based alliance,Office,263.73,116.59,335,7
163,Multi-layered optimal neural-net,Office,426.45,177.00,272,15
164,Digitized intermediate capacity,Books,263.20,124.51,463,72
165,Balanced fault-tolerant hierarchy,Grocery,114.96,46.74,429,103
166,Balanced heuristic database,Home & Garden,142.77,87.74,451,72
167,Synergized dynamic secured line,Automotive,289.40,116.59,448,46
168,Customer-focused heuristic time-frame,Office,106.90,92.44,342,62
169,Realigned incremental process improvement,Automotive,190.73,100.10,24,5
170,User-friendly coherent encoding,Sports,22.39,12.85,493,117
171,Diverse context-sensitive installation,Books,28.60,24.60,50,11
172,Assimilated context-sensitive support,Office,206.34,123.09,79,6
173,Managed zero tolerance installation,Sports,165.38,116.82,460,20
174,Synchronized user-facing workforce,Toys,113.27,75.52,67,15
175,Fully-configurable encompassing complexity,Books,91.23,46.38,491,122
176,Total bi-directional implementation,Home & Garden,175.32,129.27,353,44
177,Automated methodical definition,Electronics,140.49,88.00,119,22
178,Exclusive logistical hardware,Books,271.11,198.05,153,33
179,Integrated discrete definition,Office,366.20,153.47,389,38
180,Assimilated stable core,Clothing,174.47,122.61,477,62
181,Open-architected full-range focus group,Clothing,251.17,109.63,466,28
182,Cloned zero administration focus group,Health,113.40,77.33,71,8
183,Monitored secondary migration,Clothing,308.63,190.57,80,8
184,Open-architected systematic monitoring,Beauty,128.80,57.56,488,86
185,Managed 4thgeneration budgetary management,Health,346.32,184.12,310,67
186,Fundamental context-sensitive paradigm,Electronics,168.48,107.28,426,54
187,Fundamental 5thgeneration benchmark,Automotive,245.36,199.47,317,6
188,Right-sized intermediate hardware,Grocery,196.93,79.09,110,15
189,Upgradable zero tolerance functionalities,Toys,203.10,136.83,32,5
190,Optional real-time migration,Health,48.69,34.87,447,14
191,Customizable human-resource orchestration,Clothing,45.99,28.73,265,16
192,Ergonomic eco-centric analyzer,Books,320.13,137.74,214,46
193,Triple-buffered intermediate ability,Clothing,199.96,128.93,209,18
194,Programmable national software,Beauty,158.97,70.33,394,49
195,Up-sized user-facing support,Automotive,156.58,103.24,44,7
196,Synchronized dedicated hierarchy,Beauty,357.92,163.66,373,63
197,Optional asymmetric secured line,Books,158.90,98.43,287,63
198,Managed regional functionalities,Health,206.63,130.68,197,35
199,Switchable bottom-line success,Clothing,179.35,80.35,425,33
200,Innovative motivating function,Books,268.13,177.54,235,41
201,Synchronized incremental Graphic Interface,Health,130.85,92.18,393,15
